trip_id,start_date,delay,day_of_week,time_stamp,stop_sequence,stop_id
556205953,"May 27, 2023",1215,Saturday,11:55:15,308,20980
407754283,"May 27, 2023",561,Saturday,11:55:16,447,65520
407754293,"May 27, 2023",-945,Saturday,11:55:15,1,46479
407754533,"May 27, 2023",452,Saturday,11:55:06,25,46490
572831003,"May 27, 2023",176,Saturday,11:55:09,218,79868
572831283,"May 27, 2023",85,Saturday,11:55:16,685,45175
407754903,"May 27, 2023",-201,Saturday,11:55:01,573,79862
407754913,"May 27, 2023",-26,Saturday,11:55:07,262,68435
407754933,"May 27, 2023",-1917,Saturday,11:55:15,1,73818
597665363,"May 27, 2023",-45,Saturday,11:55:13,124,68700
538611473,"May 27, 2023",-75,Saturday,11:55:09,581,71490
538611483,"May 27, 2023",-45,Saturday,11:55:06,99,69210
538611633,"May 27, 2023",-49,Saturday,11:55:11,307,81637
547584353,"May 27, 2023",-106,Saturday,11:55:12,413,70500
547584373,"May 27, 2023",-379,Saturday,11:52:37,416,25752
547584393,"May 27, 2023",164,Saturday,11:55:04,192,71359
547584403,"May 27, 2023",-34,Saturday,11:55:13,204,70679
547584443,"May 27, 2023",193,Saturday,11:55:00,1,74232
473805303,"May 27, 2023",84,Saturday,11:55:02,49,27230
548881983,"May 27, 2023",360,Saturday,11:55:08,9,420
597672443,"May 27, 2023",-227,Saturday,11:55:05,813,65048
597672463,"May 27, 2023",174,Saturday,11:55:00,763,67655
